source,job_id,model_id,k,method,status,expected_states,observed_states,expected_queries,observed_queries,certificate_states
M8k,independent_k08__base__rep04__fg_ducs_otf,independent_k08,8,fg_ducs_otf,SUCCESS,9,9,8,8,9
M8k,independent_k10__base__rep04__fg_ducs_otf,independent_k10,10,fg_ducs_otf,SUCCESS,11,11,10,10,11
M8k,independent_k10__base__rep04__generic_lazy,independent_k10,10,generic_lazy,SUCCESS,,88,,238,11
M8k,independent_k16__base__rep04__generic_lazy,independent_k16,16,generic_lazy,SUCCESS,,530,,1744,17
M8k,independent_k16__base__rep04__fg_ducs_otf,independent_k16,16,fg_ducs_otf,SUCCESS,17,17,16,16,17
M8k,independent_k04__base__rep04__fg_ducs_otf,independent_k04,4,fg_ducs_otf,SUCCESS,5,5,4,4,5
M8k,independent_k04__base__rep04__generic_lazy,independent_k04,4,generic_lazy,SUCCESS,,12,,25,5
M8k,independent_k06__base__rep04__generic_lazy,independent_k06,6,generic_lazy,SUCCESS,,30,,74,7
M8k,independent_k06__base__rep04__fg_ducs_otf,independent_k06,6,fg_ducs_otf,SUCCESS,7,7,6,6,7
M8k,independent_k16__base__rep05__generic_lazy,independent_k16,16,generic_lazy,SUCCESS,,530,,1744,17
M8k,independent_k16__base__rep05__fg_ducs_otf,independent_k16,16,fg_ducs_otf,SUCCESS,17,17,16,16,17
M8k,independent_k06__base__rep05__generic_lazy,independent_k06,6,generic_lazy,SUCCESS,,30,,74,7
M8k,independent_k06__base__rep05__fg_ducs_otf,independent_k06,6,fg_ducs_otf,SUCCESS,7,7,6,6,7
M8k,independent_k02__base__rep05__fg_ducs_otf,independent_k02,2,fg_ducs_otf,SUCCESS,3,3,2,2,3
M8k,independent_k02__base__rep05__generic_lazy,independent_k02,2,generic_lazy,SUCCESS,,4,,6,3
M8k,independent_k08__base__rep05__generic_lazy,independent_k08,8,generic_lazy,SUCCESS,,54,,141,9
M8k,independent_k08__base__rep05__fg_ducs_otf,independent_k08,8,fg_ducs_otf,SUCCESS,9,9,8,8,9
M8k,independent_k20__base__rep05__generic_lazy,independent_k20,20,generic_lazy,SUCCESS,,1549,,5650,21
M8k,independent_k20__base__rep05__fg_ducs_otf,independent_k20,20,fg_ducs_otf,SUCCESS,21,21,20,20,21
M8k,independent_k10__base__rep05__fg_ducs_otf,independent_k10,10,fg_ducs_otf,SUCCESS,11,11,10,10,11
M8k,independent_k10__base__rep05__generic_lazy,independent_k10,10,generic_lazy,SUCCESS,,88,,238,11
M8k,independent_k12__base__rep05__generic_lazy,independent_k12,12,generic_lazy,SUCCESS,,133,,368,13
M8k,independent_k12__base__rep05__fg_ducs_otf,independent_k12,12,fg_ducs_otf,SUCCESS,13,13,12,12,13
M8k,independent_k04__base__rep05__fg_ducs_otf,independent_k04,4,fg_ducs_otf,SUCCESS,5,5,4,4,5
M8k,independent_k04__base__rep05__generic_lazy,independent_k04,4,generic_lazy,SUCCESS,,12,,25,5
legacy-direct-full,independent_k06__base__rep01__direct_full,independent_k06,6,direct_full,SUCCESS,64,64,255,255,
